level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3307	4677	-1	
2	1	1	0	0	0	291	171	544	50	-1	
3	1	1	1	0	0	291	171	544	50	-1	
4	1	1	1	1	0	291	171	544	50	-1	
5	1	1	1	1	1	291	172	115	49	75	Alti
5	1	1	1	1	2	438	171	397	50	59	Parlamenferi
2	1	2	0	0	0	1531	165	320	47	-1	
3	1	2	1	0	0	1531	165	320	47	-1	
4	1	2	1	1	0	1531	165	320	47	-1	
5	1	2	1	1	1	1531	187	63	12	90	—
5	1	2	1	1	2	1630	165	125	47	92	1003
5	1	2	1	1	3	1789	189	62	12	92	—
2	1	3	0	0	0	2487	177	505	65	-1	
3	1	3	1	0	0	2487	177	505	65	-1	
4	1	3	1	1	0	2487	177	505	65	-1	
5	1	3	1	1	1	2487	177	187	49	49	Senato
5	1	3	1	1	2	2705	178	84	50	93	del
5	1	3	1	1	3	2818	182	174	60	88	Regne
2	1	4	0	0	0	265	240	2727	36	-1	
3	1	4	1	0	0	265	240	2727	36	-1	
4	1	4	1	1	0	265	240	2727	36	-1	
5	1	4	1	1	1	265	240	2727	36	95	 
2	1	5	0	0	0	431	264	2311	18	-1	
3	1	5	1	0	0	431	264	2311	18	-1	
4	1	5	1	1	0	431	264	2311	18	-1	
5	1	5	1	1	1	431	264	2311	18	95	 
2	1	6	0	0	0	360	312	2484	69	-1	
3	1	6	1	0	0	360	312	2484	69	-1	
4	1	6	1	1	0	360	312	2484	69	-1	
5	1	6	1	1	1	360	323	365	38	96	LEGISLATURA
5	1	6	1	1	2	750	326	92	35	93	XXI
5	1	6	1	1	3	874	339	63	9	93	—
5	1	6	1	1	4	964	312	56	50	93	2°
5	1	6	1	1	5	1052	327	236	36	73	sEssionE
5	1	6	1	1	6	1327	315	124	47	93	1902
5	1	6	1	1	7	1483	340	64	10	92	—
5	1	6	1	1	8	1579	328	305	36	92	DISCUSSIONI
5	1	6	1	1	9	1918	343	63	10	91	—
5	1	6	1	1	10	2013	331	234	37	96	TORNATA
5	1	6	1	1	11	2280	335	101	33	93	DEL
5	1	6	1	1	12	2421	322	46	47	88	l°
5	1	6	1	1	13	2501	336	185	40	14	LuGLIO
5	1	6	1	1	14	2722	332	122	49	96	1902
2	1	7	0	0	0	244	405	2785	30	-1	
3	1	7	1	0	0	244	405	2785	30	-1	
4	1	7	1	1	0	244	405	2785	30	-1	
5	1	7	1	1	1	244	405	2785	30	95	 
2	1	8	0	0	0	244	419	2786	29	-1	
3	1	8	1	0	0	244	419	2786	29	-1	
4	1	8	1	1	0	244	419	2786	29	-1	
5	1	8	1	1	1	244	419	2786	29	95	 
